,output_First,output_Second,output_Upstream,output_Total
FRA_22,1000.0,7094.0,338106.0,346200.0
FRA_23,1000.0,7094.0,338106.0,346200.0
FRA_24,1000.0,7094.0,338106.0,346200.0
FRA_25,1000.0,7094.0,338106.0,346200.0
FRA_26,1000.0,7094.0,338106.0,346200.0
FRA_27,1000.0,7094.0,338106.0,346200.0
FRA_28,1000.0,7094.0,338106.0,346200.0
FRA_29,1000.0,7094.0,338106.0,346200.0
FRA_30,1000.0,7094.0,338106.0,346200.0
FRA_31T33,1000.0,7094.0,338106.0,346200.0
FRA_35T39,1000.0,7094.0,338106.0,346200.0
FRA_41T43,1000.0,7094.0,338106.0,346200.0
FRA_45T47,1000.0,7094.0,338106.0,346200.0
FRA_49T53,1000.0,7094.0,338106.0,346200.0
FRA_55T56,1000.0,7094.0,338106.0,346200.0
FRA_58T60,1000.0,7094.0,338106.0,346200.0
FRA_61,1000.0,7094.0,338106.0,346200.0
FRA_62T63,1000.0,7094.0,338106.0,346200.0
FRA_64T66,1000.0,7094.0,338106.0,346200.0
FRA_68,1000.0,7094.0,338106.0,346200.0
FRA_69T82,1000.0,7094.0,338106.0,346200.0
FRA_84,1000.0,7094.0,338106.0,346200.0
FRA_85,1000.0,7094.0,338106.0,346200.0
FRA_86T88,1000.0,7094.0,338106.0,346200.0
FRA_90T96,1000.0,7094.0,338106.0,346200.0
FRA_97T98,1000.0,7094.0,338106.0,346200.0
DEU_01T03,1000.0,7094.0,338106.0,346200.0
DEU_05T06,1000.0,7094.0,338106.0,346200.0
DEU_07T08,1000.0,7094.0,338106.0,346200.0
DEU_09,1000.0,7094.0,338106.0,346200.0
DEU_10T12,1000.0,7094.0,338106.0,346200.0
DEU_13T15,1000.0,7094.0,338106.0,346200.0
DEU_16,1000.0,7094.0,338106.0,346200.0
DEU_17T18,1000.0,7094.0,338106.0,346200.0
DEU_19,1000.0,7094.0,338106.0,346200.0
DEU_20T21,1000.0,7094.0,338106.0,346200.0
DEU_22,1000.0,7094.0,338106.0,346200.0
DEU_23,1000.0,7094.0,338106.0,346200.0
DEU_24,1000.0,7094.0,338106.0,346200.0
DEU_25,1000.0,7094.0,338106.0,346200.0
DEU_26,1000.0,7094.0,338106.0,346200.0
DEU_27,1000.0,7094.0,338106.0,346200.0
DEU_28,1000.0,7094.0,338106.0,346200.0
DEU_29,1000.0,7094.0,338106.0,346200.0
DEU_30,1000.0,7094.0,338106.0,346200.0
DEU_31T33,1000.0,7094.0,338106.0,346200.0
DEU_35T39,1000.0,7094.0,338106.0,346200.0
DEU_41T43,1000.0,7094.0,338106.0,346200.0
DEU_45T47,1000.0,7094.0,338106.0,346200.0
DEU_49T53,1000.0,7094.0,338106.0,346200.0
